,title,title_url,subhead,article_type,byline,image_url,premium
0,Not found,Not found,Not found,Not found,Not found,Not found,Not found
1,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2,Not found,Not found,Not found,Not found,Not found,Not found,Not found
3,Not found,#ds-anchor-target-content,"The captain of Les Bleus, who begin their quest for a third World Cup title on Tuesday, boasts impressive statistics for both club and national. However, in recent years, his public image has declined.",Not found,Not found,https://img.lemde.fr/2026/06/10/0/0/6174/4116/400/266/75/0/90241b5_ftp-1-7aucmxfhpa21-5239ea846c52447e83753372a6362717-1-70c2bd5d66d941379cf2341424bd94fc.jpg,Not found
4,Not found,Not found,Not found,Not found,Not found,Not found,Not found
